epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,9129.33,0.20176,0.05786,0.00065,0.16499,0.78994,0.95369,0.96588,0.98052,0.7966,0.92505,0.93701,0.9501,0.92489,0.75247,0.61473,0.04014,0.38364,1.15589,0.0011,0.0011,0.0011
52,9305.86,0.19375,0.0526,0.00078,0.15958,0.78794,0.96796,0.95163,0.97846,0.79609,0.93854,0.92191,0.9507,0.92637,0.75908,0.60257,0.03733,0.3921,1.16352,0.00107173,0.00107173,0.00107173
53,9484.76,0.20716,0.05988,0.00198,0.16801,0.79256,0.95965,0.95276,0.98041,0.78926,0.92791,0.92126,0.94478,0.91687,0.76533,0.66377,0.03798,0.38932,1.16433,0.00104349,0.00104349,0.00104349
54,9661.67,0.19375,0.05617,0.00085,0.16133,0.78892,0.97079,0.95956,0.98295,0.79312,0.94353,0.92651,0.94721,0.92078,0.76613,0.66275,0.04146,0.38481,1.17442,0.0010153,0.0010153,0.0010153
55,9838.27,0.18983,0.05739,0.00083,0.1576,0.78799,0.96774,0.95538,0.98233,0.79388,0.9385,0.92651,0.94866,0.92107,0.76436,0.66831,0.04526,0.38566,1.17035,0.0009872,0.0009872,0.0009872
56,10014.1,0.18272,0.05751,0.00222,0.15415,0.78614,0.97127,0.95538,0.97974,0.79528,0.94928,0.92388,0.9508,0.92386,0.7601,0.64956,0.03602,0.38636,1.16984,0.000959209,0.000959209,0.000959209
57,10190.8,0.18256,0.05424,0.0009,0.15399,0.78626,0.97131,0.95013,0.97953,0.80101,0.94467,0.92388,0.9481,0.92109,0.75148,0.64434,0.03018,0.39194,1.1544,0.000931357,0.000931357,0.000931357
58,10368.6,0.17706,0.05168,0.00075,0.1493,0.78521,0.96858,0.95538,0.97752,0.79479,0.93287,0.91864,0.93896,0.91515,0.76265,0.65297,0.04171,0.39855,1.17182,0.000903671,0.000903671,0.000903671
59,10545,0.17277,0.05587,0.00104,0.14693,0.78437,0.96102,0.95013,0.98252,0.79255,0.93583,0.91867,0.9469,0.9236,0.76749,0.62592,0.03516,0.39231,1.17424,0.000876179,0.000876179,0.000876179
60,10722.1,0.16502,0.04626,0.00114,0.14209,0.78197,0.96288,0.95308,0.97897,0.7963,0.9384,0.91601,0.94819,0.92311,0.75902,0.63356,0.02878,0.39535,1.16898,0.000848908,0.000848908,0.000848908
61,10898.4,0.16458,0.04632,0.00109,0.14145,0.78308,0.96811,0.95603,0.98004,0.79821,0.94372,0.92651,0.94775,0.92357,0.76211,0.62515,0.03,0.39317,1.18646,0.000821885,0.000821885,0.000821885
62,11073.9,0.1652,0.05307,0.00085,0.14007,0.78324,0.96747,0.95538,0.98073,0.79468,0.95337,0.92388,0.95175,0.92498,0.76618,0.62428,0.03633,0.39292,1.18159,0.000795136,0.000795136,0.000795136
63,11250.4,0.15777,0.04774,0.00086,0.1359,0.78059,0.96306,0.94488,0.97571,0.7941,0.946,0.91961,0.95456,0.9276,0.76594,0.61472,0.0331,0.39871,1.17859,0.000768688,0.000768688,0.000768688
64,11426.4,0.15244,0.04573,0.00125,0.13351,0.7801,0.96287,0.95289,0.97199,0.78809,0.94648,0.92835,0.94826,0.92198,0.76662,0.6314,0.03574,0.40164,1.18575,0.000742567,0.000742567,0.000742567
65,11603.8,0.14615,0.04509,0.00082,0.12873,0.77982,0.94127,0.96747,0.9779,0.79783,0.93362,0.92913,0.9524,0.92424,0.75822,0.63826,0.03493,0.3935,1.18471,0.000716799,0.000716799,0.000716799
66,11781,0.14041,0.0341,0.00042,0.12365,0.77747,0.9664,0.95538,0.97579,0.79148,0.93712,0.92651,0.94956,0.92333,0.7653,0.62261,0.04105,0.39943,1.19848,0.000691409,0.000691409,0.000691409
67,11960.4,0.13727,0.0336,0.00099,0.12276,0.77658,0.95352,0.95538,0.97277,0.79177,0.92463,0.92651,0.94786,0.92415,0.76122,0.65281,0.03756,0.40483,1.19589,0.000666422,0.000666422,0.000666422
68,12136.9,0.13479,0.03518,0.00155,0.12078,0.777,0.96812,0.95634,0.97599,0.79511,0.93624,0.9249,0.95413,0.92614,0.76295,0.63058,0.04027,0.401,1.19683,0.000641863,0.000641863,0.000641863
69,12314.9,0.13374,0.04303,0.0014,0.12056,0.77768,0.955,0.94689,0.97457,0.79214,0.94322,0.91562,0.95145,0.92399,0.76766,0.64408,0.0345,0.4025,1.1987,0.000617756,0.000617756,0.000617756
70,12491.6,0.12313,0.03079,0.00034,0.11326,0.77508,0.9632,0.94751,0.97984,0.79619,0.93101,0.91601,0.95099,0.92725,0.76261,0.63424,0.04256,0.41072,1.19298,0.000594125,0.000594125,0.000594125
71,12669.8,0.11832,0.02608,0.00035,0.10959,0.77372,0.95798,0.95751,0.97635,0.79733,0.92912,0.92388,0.94414,0.92224,0.75807,0.63958,0.03673,0.41019,1.1872,0.000570993,0.000570993,0.000570993
72,12847,0.12167,0.02749,0.00023,0.11039,0.77456,0.96262,0.94751,0.97447,0.79142,0.93591,0.92126,0.94413,0.92207,0.76002,0.62099,0.0406,0.40942,1.1842,0.000548384,0.000548384,0.000548384
73,13023.5,0.1161,0.0358,0.00084,0.10812,0.77363,0.9679,0.9497,0.97162,0.78906,0.94375,0.92484,0.94686,0.92295,0.7584,0.61051,0.04298,0.41434,1.19064,0.000526318,0.000526318,0.000526318
74,13201.2,0.11436,0.02924,0.00127,0.10474,0.77334,0.95772,0.95538,0.9748,0.79495,0.93386,0.91601,0.9413,0.9196,0.75282,0.6167,0.04656,0.41779,1.18517,0.000504819,0.000504819,0.000504819
75,13378.5,0.1105,0.033,0.00098,0.10329,0.77383,0.95287,0.95521,0.97656,0.79214,0.93116,0.92913,0.94839,0.9251,0.75604,0.62442,0.04177,0.42369,1.18693,0.000483908,0.000483908,0.000483908
76,13555,0.10583,0.02675,0.00121,0.10016,0.77193,0.96012,0.95538,0.97728,0.79209,0.93373,0.92913,0.9523,0.92473,0.75503,0.60923,0.03975,0.42042,1.19125,0.000463604,0.000463604,0.000463604
77,13731.5,0.10391,0.02623,0.00093,0.09842,0.77191,0.96648,0.95276,0.97828,0.79222,0.93367,0.93438,0.95452,0.92693,0.75396,0.61918,0.03677,0.42145,1.18622,0.000443928,0.000443928,0.000443928
78,13907.8,0.10201,0.03108,0.00021,0.0975,0.77166,0.96797,0.95538,0.98075,0.79445,0.94399,0.92888,0.95301,0.9289,0.75217,0.60523,0.03668,0.42489,1.19006,0.0004249,0.0004249,0.0004249
79,14087.4,0.099,0.02345,0.00062,0.09547,0.77073,0.96169,0.95276,0.97733,0.79441,0.93663,0.93176,0.95213,0.92614,0.75563,0.60265,0.04016,0.42552,1.19956,0.000406538,0.000406538,0.000406538
80,14266.7,0.09688,0.02602,0.00111,0.09315,0.77111,0.96278,0.95047,0.97557,0.79756,0.93621,0.92452,0.95195,0.92759,0.75306,0.60889,0.03952,0.43125,1.19496,0.00038886,0.00038886,0.00038886
81,14445.9,0.09745,0.02666,0.00026,0.09318,0.77215,0.96557,0.95703,0.97419,0.78848,0.93647,0.92849,0.94612,0.92244,0.75722,0.61097,0.03845,0.43728,1.20003,0.000371885,0.000371885,0.000371885
82,14622.4,0.09314,0.03064,0.00043,0.09124,0.77077,0.95646,0.95801,0.97232,0.79106,0.92657,0.93176,0.94601,0.92223,0.75494,0.62077,0.04205,0.43273,1.19829,0.000355627,0.000355627,0.000355627
83,14802.1,0.09342,0.02595,0.00094,0.09094,0.77139,0.95665,0.94488,0.9746,0.79138,0.92352,0.91864,0.9466,0.92186,0.75596,0.63066,0.03944,0.43672,1.19676,0.000340105,0.000340105,0.000340105
84,14977.8,0.08895,0.02654,0.00084,0.08782,0.76992,0.9526,0.95538,0.97515,0.79268,0.93436,0.91339,0.95018,0.92536,0.75529,0.6325,0.04105,0.43548,1.198,0.000325332,0.000325332,0.000325332
85,15154.2,0.08887,0.02639,0.00152,0.08765,0.7706,0.95544,0.95661,0.97561,0.79057,0.93443,0.92388,0.9529,0.92394,0.7563,0.63057,0.0391,0.43732,1.20042,0.000311324,0.000311324,0.000311324
86,15334.5,0.08405,0.02057,0.00056,0.08367,0.76912,0.95219,0.95801,0.97598,0.79722,0.93198,0.90289,0.94545,0.92329,0.75397,0.63753,0.03857,0.44288,1.19619,0.000298094,0.000298094,0.000298094
87,15512.1,0.08154,0.01942,0.00056,0.08205,0.76862,0.95795,0.95673,0.97547,0.79402,0.9429,0.91011,0.95002,0.92352,0.75175,0.63395,0.03728,0.44103,1.19598,0.000285656,0.000285656,0.000285656
88,15688.6,0.08134,0.01956,9e-05,0.0812,0.76835,0.9579,0.95556,0.97596,0.79714,0.9403,0.90947,0.94641,0.9236,0.75399,0.63239,0.03704,0.44228,1.19673,0.000274021,0.000274021,0.000274021
89,15864.9,0.0797,0.01849,0.00052,0.07988,0.76923,0.96874,0.94751,0.97749,0.7967,0.9439,0.91601,0.94973,0.92641,0.75666,0.62319,0.03679,0.44322,1.1997,0.000263201,0.000263201,0.000263201
90,16040.7,0.07763,0.02021,0.0013,0.0789,0.7687,0.96039,0.95452,0.97805,0.79667,0.92736,0.92126,0.94891,0.92587,0.75804,0.62822,0.03856,0.44251,1.20364,0.000253207,0.000253207,0.000253207
91,16218.4,0.07797,0.02475,0.001,0.07909,0.76914,0.96793,0.9506,0.97909,0.79913,0.93588,0.91942,0.95021,0.92819,0.75763,0.6286,0.03835,0.43842,1.20353,0.000244049,0.000244049,0.000244049
92,16397.7,0.07612,0.02084,0.0005,0.07814,0.7681,0.96533,0.95005,0.97726,0.79839,0.93602,0.92152,0.94806,0.92225,0.75433,0.64266,0.0389,0.44242,1.20206,0.000235736,0.000235736,0.000235736
93,16574.6,0.07384,0.01861,0.00052,0.07561,0.76847,0.96901,0.94751,0.97773,0.7976,0.93345,0.91339,0.94405,0.92254,0.75553,0.64379,0.04025,0.44533,1.20505,0.000228275,0.000228275,0.000228275
94,16752,0.07365,0.02054,0.00071,0.07534,0.76818,0.96516,0.95276,0.97783,0.79614,0.93552,0.92388,0.94938,0.92339,0.75504,0.64372,0.03983,0.44324,1.20744,0.000221675,0.000221675,0.000221675
95,16928.7,0.0725,0.02026,0.00039,0.07484,0.76797,0.95538,0.96588,0.9782,0.79642,0.93345,0.92037,0.94999,0.92244,0.75438,0.64611,0.04252,0.44925,1.20694,0.000215941,0.000215941,0.000215941
96,17105.1,0.07195,0.02701,0.00033,0.07464,0.76847,0.95757,0.96063,0.97709,0.79612,0.93328,0.91783,0.94994,0.92118,0.75331,0.64912,0.04013,0.44732,1.20585,0.00021108,0.00021108,0.00021108
97,17281.2,0.07138,0.02181,0.00075,0.07398,0.76782,0.95271,0.95801,0.9742,0.79616,0.92765,0.92388,0.94456,0.92059,0.75058,0.6458,0.04149,0.44763,1.20535,0.000207097,0.000207097,0.000207097
98,17457.9,0.0735,0.0233,0.00044,0.07526,0.76851,0.9506,0.95956,0.97537,0.79501,0.92737,0.92126,0.9487,0.92488,0.75117,0.63027,0.04192,0.44716,1.20407,0.000203994,0.000203994,0.000203994
99,17634.6,0.0705,0.01832,0.00029,0.07253,0.76716,0.95509,0.96063,0.97618,0.7962,0.92922,0.92388,0.94941,0.92489,0.75123,0.63279,0.04194,0.44889,1.20746,0.000201776,0.000201776,0.000201776
100,17811.5,0.06791,0.01446,7e-05,0.07095,0.76628,0.95575,0.95538,0.97614,0.79627,0.92514,0.92388,0.94886,0.92446,0.75061,0.62354,0.04219,0.45151,1.20626,0.000200444,0.000200444,0.000200444
