epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,8775.86,0.37146,0.23789,0.00459,0.26947,0.85598,0.9604,0.94899,0.98029,0.82096,0.94754,0.9267,0.95475,0.92159,0.66998,0.54612,0.01524,0.38607,1.08332,0.00728717,0.00728717,0.00728717
39,9005.1,0.36151,0.22895,0.00351,0.2639,0.85262,0.96992,0.93652,0.9774,0.82003,0.956,0.92584,0.95906,0.91582,0.66638,0.55735,0.0146,0.3972,1.08199,0.00715656,0.00715656,0.00715656
40,9235.59,0.35016,0.20111,0.00353,0.25548,0.8439,0.95708,0.95011,0.97693,0.81854,0.94301,0.92957,0.94894,0.91214,0.66351,0.56527,0.01291,0.39713,1.07977,0.00702432,0.00702432,0.00702432
41,9465.63,0.3424,0.20018,0.00317,0.24828,0.84146,0.95665,0.94087,0.97235,0.81117,0.93852,0.92087,0.94598,0.90766,0.65844,0.55212,0.01592,0.39907,1.07717,0.00689058,0.00689058,0.00689058
42,9695.08,0.33101,0.19682,0.00381,0.24535,0.8368,0.96581,0.93478,0.97611,0.82442,0.95121,0.91542,0.95344,0.91639,0.65956,0.54435,0.01886,0.3925,1.08398,0.00675546,0.00675546,0.00675546
43,9924.82,0.32595,0.19942,0.0031,0.23861,0.83526,0.95673,0.94087,0.9749,0.82058,0.94133,0.92078,0.94804,0.91,0.65252,0.55501,0.01343,0.39838,1.08018,0.0066191,0.0066191,0.0066191
44,10155.4,0.31957,0.18665,0.00306,0.23462,0.83277,0.96423,0.93773,0.9753,0.82414,0.94705,0.91762,0.95061,0.91366,0.65324,0.56355,0.01338,0.39216,1.07862,0.00648164,0.00648164,0.00648164
45,10386.6,0.31271,0.16992,0.00268,0.22993,0.82667,0.96574,0.93652,0.97369,0.81866,0.9451,0.92087,0.95371,0.91257,0.64693,0.53999,0.0137,0.38719,1.07891,0.00634322,0.00634322,0.00634322
46,10616.3,0.30838,0.16779,0.00264,0.2293,0.82623,0.95927,0.9421,0.9731,0.8154,0.9451,0.92807,0.95367,0.91402,0.65042,0.5257,0.01345,0.39208,1.08262,0.00620396,0.00620396,0.00620396
47,10846.8,0.29863,0.16026,0.00268,0.22383,0.82319,0.9654,0.93739,0.97627,0.82231,0.95137,0.91863,0.95517,0.91369,0.6384,0.53042,0.014,0.38146,1.07499,0.006064,0.006064,0.006064
48,11076.5,0.29288,0.1524,0.00293,0.22001,0.81967,0.96085,0.93895,0.97742,0.82635,0.94062,0.92087,0.95355,0.92235,0.63922,0.51893,0.01697,0.38094,1.07519,0.00592349,0.00592349,0.00592349
49,11307.8,0.28581,0.14524,0.00344,0.21577,0.81734,0.95126,0.95391,0.97778,0.82464,0.94334,0.93043,0.95664,0.91833,0.64515,0.50835,0.01413,0.39157,1.08365,0.00578256,0.00578256,0.00578256
